State,District,Latitude,Longitude,District Code,Population,Households with Internet,Total Workers,Cultivator Workers,Agricultural Workers,Household Workers,Households with Electric Lighting,Households with Internet,Households with Computer,Below Primary Education,Households with Bathing Facility,Households with Latrine Facility within Premises,Water Source Near Premises Households,Water Source Within Premises Households,Main Water Source: Tank/Pond/Lake Households,Main Water Source: Tapwater Households,Main Water Source: Tubewell/Borehole Households,Owned Households,Rented Households,Age Group 0-29,Age Group 30-49,Age Group 50+,Total Power Parity,Households with Internet,Sex ratio,Literacy rate
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,10257,627124,78120,253577,8902,309091,10257,29531,161675,261660,204943,95961,204663,112,253257,24691,279792,44555,844298,442523,254728,3242,10257,93.0,72.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,7297,1150632,231796,334025,17996,500757,7297,28925,422461,375112,292210,99637,361542,702,390572,35266,467094,61608,1708938,720241,445121,5434,7297,93.0,66.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,12107,534976,104147,129356,8600,262539,12107,33662,136131,193174,171166,53744,222079,31,257436,24410,234873,41902,769329,391862,224886,6016,12107,92.0,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,11573,847440,264318,147193,11359,386538,11573,30384,255785,285899,242841,88844,276247,1619,290541,33615,354786,56645,1220598,576319,358455,5028,11573,94.0,65.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,9631,776228,105876,183971,10802,403294,9631,31961,246956,329920,280257,78224,313045,5191,367140,22738,328271,83137,1278604,524052,286086,4146,9631,91.0,60.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,5710,933983,239241,359842,12455,372226,5710,24502,295057,220959,172599,157901,233592,100,302055,68378,429236,22358,1260660,628221,388646,4252,5710,94.0,72.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,7759,812064,189760,242969,10282,385609,7759,33731,260278,290574,232825,74023,328355,61,375792,37143,371860,43193,1119451,554432,357578,3648,7759,93.0,74.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,576,294795,62823,188030,2594,101940,576,4081,76197,65190,27223,61283,40740,219,41369,5565,115602,4801,336830,157910,93466,979,576,96.0,63.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,6726,591834,112809,206608,7173,267679,6726,24397,145678,201380,168150,100295,157653,36,148017,50626,262571,25882,673014,390349,258957,3256,6726,96.0,75.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,3456,1097507,456768,376038,10771,398937,3456,19753,255905,181557,121676,204393,129165,376,121463,20886,425072,15044,1421859,599925,363391,3981,3456,95.0,60.0
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,2231,554830,136590,227080,6392,223424,2231,12870,168990,157715,123977,59045,182619,1379,233095,20071,245138,19197,786357,341381,213465,2199,2231,94.0,62.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,1653,231169,65702,48964,2371,117040,1653,5639,50588,79955,72287,30631,72890,2362,77490,6942,103353,16208,314886,163777,105638,1463,1653,95.0,67.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,21785,1479050,349357,214285,23780,747352,21785,67370,383780,593448,543342,114748,605196,2117,651594,41220,644828,111779,2080568,1052871,659576,8498,21785,93.0,72.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,5262,1084878,366711,333867,10909,438606,5262,25425,214062,231094,182583,147230,251245,127,294228,69046,450063,22065,1393131,630963,400905,3934,5262,95.0,65.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,55694,2553542,109549,325739,42040,1252452,55694,149331,566242,1150519,1103767,228438,1009087,84,1047402,117310,788508,478407,3563443,1740746,723415,16368,55694,79.0,75.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,2975,723500,185235,270861,9518,302068,2975,15309,234873,192991,120741,75387,198405,3839,238259,19438,306924,26468,1033435,439352,280582,3227,2975,93.0,62.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,137,118257,64561,40486,1172,29794,137,1393,43639,20702,13736,23264,5457,9,8485,1894,46314,1291,146095,51821,30027,325,137,101.0,62.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,53606,1693473,312126,570361,17680,798277,53606,117818,396624,632580,543474,218599,567053,560,639002,39945,771779,88479,2213474,1190041,733710,9753,53606,93.0,69.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,11020,743245,147569,183025,11833,329218,11020,31285,165459,232568,170861,128462,163491,513,119981,66781,297911,58586,944532,485874,259906,3316,11020,92.0,69.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,12899,372139,52871,57293,15753,199681,12899,32767,89558,186183,142922,27750,175374,106,173860,14874,183898,18611,617859,308126,201685,2781,12899,88.0,72.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,5292,623006,288543,103788,14855,266244,5292,25236,186145,241914,175689,84400,164410,3557,203509,36262,293443,11408,964960,405760,261428,3349,5292,89.0,65.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,43437,579229,27705,29288,32286,333171,43437,82673,137902,313812,296399,65216,253688,5639,211123,46224,276186,69917,1095602,481318,231029,5080,43437,87.0,70.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,3210,369083,132250,97997,6558,153301,3210,13142,103541,152219,134586,39877,122912,1773,128708,25578,162708,8832,555745,237009,147469,1854,3210,90.0,59.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,67087,544716,56046,27097,18228,305751,67087,102343,126920,290709,271169,44026,257287,1253,219377,81189,211728,98060,875531,428101,210307,3107,67087,85.0,73.0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,10132,691621,261120,144213,16097,285004,10132,33400,197303,273915,231144,76543,194669,4792,218535,11612,295628,23078,1017830,456536,265109,3642,10132,87.0,64.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,5034,326534,112389,44845,9254,168558,5034,19241,90737,153834,123545,36547,114081,1670,133448,14363,168223,12154,549975,245095,162356,2169,5034,86.0,71.0
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,5263,523422,230387,102071,9114,222462,5263,23750,136892,186317,146428,73935,119784,1170,129177,43302,227870,12316,784085,335704,213478,2674,5263,87.0,62.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,3724,373899,128016,85651,9450,187349,3724,15301,119345,153556,126896,60650,114419,897,116339,45149,189832,7550,630194,265813,176320,2046,3724,88.0,60.0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,11163,516062,112288,133723,15311,267223,11163,29253,155839,238149,215989,45033,225116,277,229500,29657,258981,19328,884972,380409,234684,3368,11163,89.0,65.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,7356,336780,68908,85890,6726,171908,7356,21951,94530,152922,136321,28663,144159,59,152471,23107,162147,13063,552034,250830,160216,2137,7356,89.0,67.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,2624,338584,149146,38320,7639,135455,2624,13908,94273,113329,74605,55460,80378,5698,108389,37955,162961,3691,530000,229392,161258,1894,2624,89.0,68.0
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,18615,211479,26682,12827,9870,103455,18615,32174,45607,94560,77967,22286,82195,444,99720,3329,78722,24115,309078,157076,93606,1445,18615,87.0,72.0
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,10024,412318,72120,62358,15824,209965,10024,26719,118873,191098,176766,53544,148894,467,145881,41486,182191,32473,739075,298764,167244,2559,10024,86.0,65.0
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,5121,337727,102698,28215,9782,152651,5121,18092,81280,134804,100436,35782,114709,1773,122608,24732,156650,9969,518747,230704,150557,1979,5121,90.0,71.0
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,8482,345967,95732,36568,8521,193120,8482,27225,117097,174390,147990,37780,136781,440,154010,10545,185204,15541,605741,269354,185685,2299,8482,87.0,70.0
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,6287,502003,164297,147042,11952,215527,6287,22706,141766,216307,215371,33381,196564,1906,204475,19947,219428,12951,750228,334344,208185,2681,6287,90.0,60.0
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,1615,294035,196665,9193,4521,96082,1615,5117,56272,46292,52553,55088,36220,154,96451,9,94367,6546,306555,130606,81566,950,1615,99.0,62.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,2521,241931,147103,8824,3347,104120,2521,7525,37327,86909,93858,29624,69696,140,94807,208,99538,4452,224044,123941,106641,878,2521,110.0,79.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,1196,443655,130314,181449,19876,55929,1196,11037,159593,120259,68771,120508,47183,90,40314,588,202503,4809,660774,260368,181109,1291,1196,86.0,59.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,2521,241931,147103,8824,3347,104120,2521,7525,37327,86909,93858,29624,69696,140,94807,208,99538,4452,224044,123941,106641,878,2521,110.0,79.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,1196,443655,130314,181449,19876,55929,1196,11037,159593,120259,68771,120508,47183,90,40314,588,202503,4809,660774,260368,181109,1291,1196,86.0,59.0
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,8053,675170,303007,54849,15662,330081,8053,22753,127699,229975,220258,105689,200604,644,301016,1716,314828,16832,766581,419172,319420,2878,8053,101.0,76.0
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,354,56273,32995,2537,944,17865,354,2563,9400,13902,13521,6083,11752,98,17996,86,13926,4511,42360,26599,15075,181,354,82.0,72.0
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,2623,269084,197141,12372,2707,91322,2623,7010,48384,66129,55831,38399,46354,451,87848,271,80610,12616,244727,120510,72282,854,2623,94.0,70.0
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,5333,572671,387944,15822,7134,214491,5333,16401,100052,175038,181985,84301,123062,1049,209375,142,205510,11024,524285,279321,194661,1842,5333,101.0,72.0
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,9177,430926,249786,26114,7967,172754,9177,24127,69967,153356,123535,58532,102066,1390,166551,70,126522,44241,425721,241956,145577,1668,9177,92.0,75.0
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,2220,280083,182958,10730,5313,91509,2220,8593,57853,74088,60246,40315,39659,1110,75607,1045,83947,10156,310244,136839,82471,930,2220,92.0,68.0
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,5250,298737,141267,10283,4969,119866,5250,14478,50331,105861,90587,35692,74848,1148,103964,3148,86649,31305,321533,167168,90808,1253,5250,88.0,74.0
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,2412,215346,84800,19604,3427,105929,2412,8238,51838,87268,66103,30021,71588,128,93873,2419,101443,5195,273223,142351,105358,987,2412,98.0,77.0
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,596,151912,69947,12199,1932,61831,596,3077,43794,26716,23060,35304,25054,261,66002,60,76189,1997,263576,93189,52744,1103,596,92.0,53.0
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,19905,508622,68613,36873,10589,294739,19905,46657,135391,231365,162522,46394,233123,1681,168693,8076,274859,18255,816827,435895,275585,3525,19905,88.0,74.0
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,235,51873,8266,3763,1222,15824,235,1005,12732,11887,17649,9218,1963,197,10769,19,16646,1419,87532,35561,17488,214,235,81.0,61.0
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,1443,200431,69533,21566,3952,109422,1443,6112,69396,47372,26033,36594,52019,771,61227,3438,114949,2179,357864,160123,97684,936,1443,89.0,63.0
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,1537,188420,49746,34080,10615,73629,1537,5293,36201,61749,53836,19320,50893,430,56749,3413,80452,459,342601,137032,80111,1068,1537,91.0,52.0
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,346,161393,54264,31583,3930,62900,346,3342,55762,19789,16586,33146,17078,308,43697,234,87711,762,304979,109818,61334,629,346,89.0,55.0
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,16413,407188,12228,10408,20095,165403,16413,33831,88911,164263,164002,7457,157176,64,164426,692,160923,5135,693238,351561,190330,3099,16413,90.0,61.0
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,1214,243672,113020,11396,2641,73999,1214,5744,58567,21542,18063,36891,21585,782,47796,166,90329,2544,339145,140785,74757,1278,1214,87.0,58.0
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,9754,685368,137521,126406,21671,274726,9754,37997,242467,149320,130956,141889,139394,1385,101797,12123,292464,67373,1261238,510375,282115,3604,9754,92.0,62.0
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,590,397690,119297,188513,14210,27037,590,9115,200861,31242,18298,94922,29054,65,7066,930,176487,2533,692650,222892,126682,817,590,95.0,49.0
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,1944,551467,128656,209693,39361,130193,1944,13550,217460,51685,42762,137889,51356,93,10813,9593,249689,7201,944961,338413,205514,1267,1944,93.0,53.0
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,11568,844504,97118,103488,25889,427173,11568,46646,317918,224918,198464,179162,163958,2154,199454,22792,359496,76629,1634835,648876,356445,3954,11568,91.0,64.0
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,1193,624779,193402,303084,23106,62110,1193,10396,229157,28625,26873,146642,23295,414,10184,9715,267228,3967,799323,324226,196164,1323,1193,98.0,51.0
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,565,571431,113561,328673,14487,29373,565,8881,207665,37316,18018,120994,42515,227,9562,2359,250350,2997,860869,284036,177599,1017,565,94.0,49.0
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,1944,1036277,369913,362610,32544,125431,1944,19976,503261,65411,42269,205231,64045,378,20116,3294,381432,6860,1597269,533788,312967,2384,1944,94.0,51.0
Jharkhand,Godda,24.8189,87.2941735483871,351,1313551,874,552191,144603,307767,18719,43230,874,11925,217607,35837,26348,135005,36301,345,9377,2969,245973,2288,820367,308639,183519,1057,874,94.0,46.0
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,831,487508,321272,97918,12771,31687,831,7807,136719,19181,19545,83958,20129,61,7231,961,179247,7713,643579,225871,155452,849,831,99.0,55.0
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,808,326631,106008,135667,11547,49419,808,4959,131150,17759,14710,81943,20557,100,3369,6404,145904,3164,480895,189889,116810,540,808,95.0,54.0
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,340,313379,103693,142729,9205,38194,340,6240,109491,16406,14317,66928,13556,176,3795,736,127924,3721,484084,152720,89870,547,340,97.0,48.0
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,351,221332,99780,80840,4449,28769,351,2954,82873,16335,13613,47719,10565,30,2682,435,87210,2967,298844,100340,62244,388,351,99.0,56.0
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,328,404584,105334,150028,19471,31414,328,4535,100367,15762,18395,114465,11757,145,5590,7257,175835,2847,587976,206826,104418,691,328,99.0,39.0
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,2155,713175,133585,380976,19911,68238,2155,19981,303053,82133,46445,155839,93084,468,16934,3755,346286,6419,1244572,425668,268387,1515,2155,93.0,53.0
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,22538,1142867,317487,267360,38452,350908,22538,76565,361522,237057,227932,182802,199059,606,101302,44162,461581,79680,1742293,725938,409166,3805,22538,95.0,66.0
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,591,490202,109975,206902,43179,34879,591,9563,146399,35220,34451,117415,44115,257,10049,8021,217420,4553,745027,261849,137727,954,591,95.0,42.0
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,423,288645,158019,90232,8011,16865,423,4649,82317,9228,9547,58894,9151,95,3519,535,111052,4279,357859,143560,97817,496,423,100.0,57.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,3745,818081,196199,303243,44797,301389,3745,26297,242336,272956,66813,166611,102487,724,225386,73403,287059,54451,1123443,465706,299774,2890,3745,99.0,59.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,3729,459891,127770,84108,19457,214253,3729,17066,100770,201156,179589,122564,59332,70,150162,63010,163974,55447,535765,278153,176083,1422,3729,95.0,70.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,17560,2105668,711980,649517,60342,808827,17560,73497,544564,779974,316225,392344,340306,4006,520520,186601,811672,126662,2669348,1251116,857143,7045,17560,97.0,64.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,9626,1116880,258080,406092,22832,440374,9626,40190,275785,417150,156110,202155,164676,4356,388435,53592,366781,102920,1487013,617276,346905,3886,9626,98.0,58.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,3971,702608,141302,280091,18095,271439,3971,36072,188998,214601,72805,120499,92061,1226,158928,53317,278386,30830,1018195,397120,287271,2448,3971,96.0,61.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,117,134525,66504,49859,1399,12516,117,1462,25597,7780,2843,26040,2460,255,1982,230,47682,1846,167348,63802,23927,1387,117,98.0,34.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,4987,927722,262217,351600,25379,326594,4987,36571,246391,297164,73300,161163,104504,1239,195318,50631,338321,55083,1295274,527085,353549,2938,4987,96.0,57.0
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,4510,565774,155392,126600,8873,238505,4510,18727,114570,246504,167369,128194,108037,3607,186014,35987,216586,41283,564994,341380,230864,1996,4510,101.0,72.0
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,5711,856587,286245,294337,26235,307257,5711,28897,188329,270699,107142,190306,86859,1250,232128,88921,298987,46758,891230,460057,306412,2374,5711,97.0,66.0
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,7320,875207,230846,295873,31438,372671,7320,39416,242130,353628,188046,208670,121315,529,282186,92179,320621,73448,1068518,538551,336173,3062,7320,97.0,67.0
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,15013,784833,164279,207642,16463,347962,15013,49585,252596,349008,212091,106104,213137,22327,300159,33936,275419,87134,1017935,505688,322577,3519,15013,97.0,70.0
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,3373,495722,127441,200310,15485,198064,3373,15625,121615,191541,45668,96873,63805,19603,156686,18113,175742,32788,601578,279069,183409,1699,3373,98.0,66.0
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,9752,1087028,220198,415267,25891,404767,9752,52483,177860,340251,118792,174993,146124,532,264350,68364,378218,79335,1570719,604665,388935,5378,9752,97.0,56.0
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,4851,903580,437034,165910,16126,400702,4851,23444,182255,403052,171212,217341,147920,856,272269,103177,363138,57085,877340,522039,375918,2743,4851,101.0,69.0
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,2456,730066,203055,311263,20217,295937,2456,17819,240925,288495,121420,164716,91633,748,244655,61867,280133,37221,904453,426094,266586,2240,2456,95.0,68.0
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,3308,278938,21174,15153,1549,113931,3308,10758,51287,125535,112626,44500,76018,2450,66724,13535,93366,22511,276918,163360,113919,942,3308,102.0,74.0
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,5051,717872,183057,201233,24178,309494,5051,27235,138015,242038,141675,143255,85949,4309,208954,92512,261316,60630,841499,419380,274240,3389,5051,98.0,66.0
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,2135,654766,163413,273016,18794,223166,2135,15263,222140,218749,47931,127416,58883,4503,186903,39908,212484,41112,855430,330393,202984,1889,2135,99.0,58.0
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,3367,871408,388981,216159,17834,391033,3367,20265,145178,388674,159818,208469,160714,132,330827,58173,370797,47339,902307,527236,375100,2628,3367,100.0,64.0
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,28397,1314268,349337,311002,28162,640868,28397,80086,207091,611989,378503,211890,409885,891,567444,56899,529209,139947,1580116,865220,553705,4995,28397,99.0,65.0
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,5200,903413,245299,383526,19095,314547,5200,33903,147743,286629,74326,141853,86575,22053,219549,42399,300223,48296,1196670,465173,265810,2672,5200,100.0,51.0
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,8791,780598,204493,246464,15087,363835,8791,35207,191641,369749,286129,168665,181024,3762,262501,36589,315329,77868,913150,513297,325542,3119,8791,100.0,72.0
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,7971,1354646,505910,352286,54523,562769,7971,41751,270373,519944,206821,350215,163780,518,425369,152051,532693,93096,1351461,760936,564196,4067,7971,98.0,68.0
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,9070,513241,63143,63390,10580,224814,9070,24817,142493,229830,214808,33715,185404,2023,45737,9990,220662,21037,559565,340903,276234,2100,9070,109.0,79.0
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,28842,804471,25237,71706,35865,507913,28842,71593,133039,445638,490935,84378,384239,5721,184698,73399,496464,24772,891512,648522,585591,3368,28842,110.0,87.0
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,88737,1249343,50423,71391,23976,771287,88737,184167,212263,739614,774743,117964,635670,1166,453148,6856,689970,88824,1396968,1024720,858010,6274,88737,103.0,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,8250,516363,100917,145698,6888,244844,8250,24863,79149,203816,246878,86906,114778,17303,83659,10710,222531,26014,494456,352163,261471,1374,8250,101.0,83.0
Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,32653,824116,36549,82988,12875,511167,32653,83940,204713,497016,530436,63511,440610,3593,63652,12764,507341,28563,1187177,741984,588081,4432,32653,114.0,85.0
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,10378,462998,23732,38774,24496,237670,10378,32484,115476,236961,245747,40315,195593,6792,36736,35578,240351,22502,688763,369883,246975,1988,10378,108.0,79.0
Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,31542,912025,56693,92193,21511,630767,31542,83133,172247,532705,626758,64485,568555,3167,179861,4608,597009,51410,1177359,795245,660965,3910,31542,111.0,85.0
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,37849,735735,49991,63052,18523,464039,37849,83999,117681,416985,464124,71856,350435,3337,110023,6897,434540,37276,811653,596302,565048,3071,37849,104.0,89.0
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,36791,948981,26543,64198,13312,641660,36791,107602,247996,613671,668842,86008,542267,1566,143663,12553,638772,35910,1487644,909581,686109,4594,36791,110.0,85.0
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,27909,1062424,57567,117405,18423,730119,27909,119918,415601,692169,754074,95071,628805,1552,115058,22831,719609,47021,2406005,1041361,662311,4838,27909,110.0,81.0
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,27162,1042340,67805,249949,25035,587583,27162,69440,249198,511877,564142,124408,450438,1540,269352,33936,575878,39417,1395222,802611,608966,3929,27162,107.0,80.0
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,71621,1231669,38837,94470,28587,783872,71621,155321,206328,613196,780821,83395,698056,3827,316393,16450,727418,83983,1488441,989238,820024,5770,71621,109.0,84.0
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,56148,1095727,41786,73941,27883,721625,56148,132774,222627,712186,727823,86332,622975,1327,204494,39221,683102,48702,1394214,931841,792182,5612,56148,111.0,86.0
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,4712,340077,52759,101630,4574,149864,4712,15944,65326,146524,170170,43873,111648,2890,41863,5784,166448,12409,412806,246590,157326,1095,4712,103.0,79.0
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,1290,346471,115448,130376,7051,81338,1290,7266,113208,35107,29828,68354,47278,1113,29861,1924,146164,16275,444954,193520,109813,787,1290,98.0,58.0
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,845071,619,315270,116913,122387,10559,84720,619,6016,148647,87957,26227,84954,30468,217,17501,7376,162759,5484,535410,194772,114131,861,619,90.0,56.0
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,1712,893014,257785,459796,19245,277927,1712,13306,290699,178778,73522,188210,87044,191,38273,4190,366925,16421,969773,453605,276799,1709,1712,102.0,67.0
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,1158,653897,287704,267196,7451,181139,1158,8516,157337,95231,45979,127727,48225,2241,70117,12669,224957,12865,923665,302833,158594,1336,1158,98.0,40.0
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,1575362,2109,786980,253602,358157,11849,230974,2109,13755,239114,184872,81190,161934,68321,345,88762,20222,284681,23266,938819,392728,242592,1845,2109,97.0,60.0
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,1166,520768,231185,158266,9838,107819,1166,14368,202629,181907,68734,169781,51290,152,39417,9089,288622,7464,1040736,399676,258588,1786,1166,84.0,64.0
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,2371061,40788,867457,73346,105195,24732,452912,40788,94729,229082,420371,352351,168763,237019,9850,290507,72331,357177,107036,1405814,625594,330291,4298,40788,92.0,70.0
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,986,328339,67799,156295,8077,112420,986,5058,107547,110403,50613,65467,50687,249,95022,2288,124087,12487,469838,181605,106034,989,986,95.0,54.0
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,1880,751797,302228,238364,26390,176056,1880,15567,270951,120424,56851,185719,47529,266,25858,14706,354948,12483,1112636,394060,252417,1947,1880,88.0,54.0
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,3588,957984,283111,422668,14585,344875,3588,20034,284113,245014,111901,201932,102108,903,164167,13482,376356,34728,1232263,535316,321977,2513,3588,96.0,62.0
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,1432,574595,114611,250165,67383,187731,1432,10504,197917,90156,43355,131839,36196,607,37933,9635,283661,10655,768929,312593,181403,1359,1432,91.0,59.0
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,616,321160,152903,93744,6839,97696,616,5251,132176,90102,35209,83399,33638,262,21821,6790,153252,4235,473097,195131,118186,951,616,87.0,62.0
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,3518,742676,260222,310606,11816,270457,3518,16523,242508,193157,112895,151581,69986,2173,64926,57651,278354,18785,943954,388648,230280,1899,3518,94.0,59.0
