State,District,Latitude,Longitude,District Code,Population,Households with Internet,Total Workers,Cultivator Workers,Agricultural Workers,Household Workers,Households with Electric Lighting,Households with Internet,Households with Computer,Below Primary Education,Households with Bathing Facility,Households with Latrine Facility within Premises,Water Source Near Premises Households,Water Source Within Premises Households,Main Water Source: Tank/Pond/Lake Households,Main Water Source: Tapwater Households,Main Water Source: Tubewell/Borehole Households,Owned Households,Rented Households,Age Group 0-29,Age Group 30-49,Age Group 50+,Total Power Parity,Households with Internet,Sex ratio,Literacy rate
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,381,30202,13656,1968,435,12493,381,1598,8492,8804,11232,5240,7800,169,12831,142,11259,3062,55258,20305,7412,348,381,98.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,2477,65772,14104,1859,1543,30539,2477,7418,15368,23052,25706,9481,19772,346,25063,502,15037,12769,120592,43812,11856,644,2477,98.0,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,96,28561,7631,1581,114,8635,96,494,4904,3562,7026,3654,3806,40,7643,8,6820,2134,30709,13849,5399,348,96,71.0,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,98,50169,35967,1811,836,16026,98,888,13585,6582,16937,7290,4989,384,11931,117,15861,2575,71785,25669,14423,348,98,94.0,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,97,17644,9976,804,591,6198,97,392,3952,2714,4413,3801,2537,5,6796,1,5393,1047,21090,8910,5252,348,97,89.0,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,139,33370,21690,1846,481,5373,139,750,10219,5007,6658,7080,3847,106,11712,11,13420,1635,56054,20055,7230,348,139,100.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,202,42493,14476,1705,801,14188,202,887,8836,7421,8253,7026,6902,254,14074,92,9390,5787,53026,22362,8493,348,202,82.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,303,49177,28852,1384,298,14204,303,1300,14227,10692,15800,7809,9685,27,17389,84,14876,4678,70415,28305,13469,348,303,93.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,2078,561824,205259,98946,30342,84804,2078,25286,210607,97152,243504,74876,220128,976,5966,20547,326160,7625,1072312,405046,215355,348,2078,95.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,2523,255806,83442,47406,9485,49866,2523,12959,93591,47000,84687,28239,103898,159,8885,10563,134382,12007,458796,184849,94939,348,2523,97.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,5316,608062,120356,68664,24466,140205,5316,37541,256855,159266,298041,169873,80138,60245,134160,11692,324905,25190,1048990,444899,241776,348,5316,96.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,1166,324843,129456,81617,10542,45444,1166,12084,119027,46789,95080,43447,110458,1467,4865,7467,180669,3789,583436,226525,118102,348,1166,95.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,1192,316800,231937,19181,7224,28195,1192,10410,79107,37742,57995,38063,71165,3574,2965,36334,122182,5984,434221,169630,82051,348,1192,95.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,8817,560557,135194,61209,14362,136685,8817,34479,143189,177759,214721,69884,184468,665,29708,65235,195303,38157,767147,371864,186774,348,8817,96.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,1364,362573,126549,75828,14346,78641,1364,13524,124700,60181,129311,44095,115683,138,4201,9092,190189,4793,650509,239831,117427,348,1364,96.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,3073,479928,190590,66616,15068,82345,3073,17636,117393,123520,153723,64252,103715,8486,31806,43628,193055,12450,629153,289085,148244,348,3073,96.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,1211,214240,65673,31248,7313,44143,1211,10615,88596,49075,119292,75014,15369,55524,24859,5379,134032,4264,419921,156243,82841,348,1211,95.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,5651,498618,145885,53153,31543,122063,5651,26357,99454,145819,155435,81844,104722,34072,65585,36039,196137,21137,604908,315550,171062,348,5651,96.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,3109,628954,185803,99522,69106,122191,3109,23468,163849,124575,180800,61695,197830,412,11130,5577,295002,7808,895775,408232,212740,348,3109,95.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,1923,383441,223020,60952,9861,53918,1923,11340,109324,51860,96932,59185,62343,3965,12163,14978,155192,16484,618633,233739,103123,348,1923,95.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,1933,399171,94348,67033,17435,70951,1933,24699,198059,98861,210254,120544,44183,84284,31884,17639,230546,10212,779850,284368,163990,348,1933,96.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,1218,341131,156753,56330,12423,41373,1218,14063,116899,28132,52532,42957,103512,379,5098,23313,171597,4205,552671,224715,108956,348,1218,96.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,1948,429995,239377,43922,10983,60296,1948,15011,126950,73904,117971,51962,115599,3820,10937,23337,183814,12407,639385,268872,133615,348,1948,97.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,5121,979998,346123,196174,38122,195631,5121,45956,392616,250174,422431,111783,362290,4760,33210,35623,509358,32751,1778277,678034,366112,348,5121,96.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,1631,267623,58070,34984,19302,68313,1631,12360,75866,80855,103600,29026,109448,224,4373,1234,149314,4519,442061,211320,117809,348,1631,95.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,4358,770606,249123,114865,25719,133368,4358,31254,216097,177951,228882,104501,207718,1749,33448,16215,323644,22030,1159991,501239,261648,348,4358,96.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,5135,557196,149482,47756,13241,161718,5135,27948,150893,167479,217556,69408,177588,1025,25386,57599,179202,37251,799874,352158,175377,348,5135,95.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,2561,1069893,222913,691947,24367,43290,2561,29796,625357,225043,52549,213049,317350,511,8056,54827,550065,6185,1872943,612012,324091,2035,2561,92.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,2362,837770,178525,426096,40652,44456,2362,31168,559512,166509,84329,101279,247664,422,13998,2770,377134,6754,1626969,564571,340948,2215,2362,93.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,23258,1575079,554518,396630,28033,589477,23258,69937,381695,616355,360410,198011,422166,3542,459847,47614,580691,138210,2211996,909771,571932,8119,23258,92.0,68.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,2362,837770,178525,426096,40652,44456,2362,31168,559512,166509,84329,101279,247664,422,13998,2770,377134,6754,1626969,564571,340948,2215,2362,93.0,58.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,23258,1575079,554518,396630,28033,589477,23258,69937,381695,616355,360410,198011,422166,3542,459847,47614,580691,138210,2211996,909771,571932,8119,23258,92.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1704,771080,172440,462614,26680,62359,1704,22300,408188,88429,46555,161124,108991,466,15071,2243,372571,3728,1291235,462080,278863,1738,1704,91.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,4644,938182,146035,430870,58167,120373,4644,43127,577601,193224,186662,219003,313654,658,21384,4641,577162,10968,1951688,644874,369996,2354,4644,89.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,6764,983528,135161,475228,60461,174534,6764,46929,614644,208730,189954,209060,250177,883,45919,30554,540365,13460,1952879,674660,397654,2814,6764,88.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,3661,822493,190896,364875,47985,62153,3661,34658,581580,216412,112983,78650,312557,464,15589,3508,401256,9625,1722387,613072,387389,2600,3661,91.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,1784,538322,132472,251790,26122,46760,1784,19324,331675,130771,64826,54463,188476,301,10728,3437,254972,4718,1074754,375372,253998,1556,1784,92.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,6280,1223640,236673,642115,44846,127442,6280,53205,672797,247667,202524,332426,345511,1245,19499,38607,785953,10615,2535344,865971,529314,3514,6280,91.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,6856,1664062,370759,783505,87178,112617,6856,57011,902272,260921,167232,246837,312298,1279,37002,15636,665673,18754,2810026,936630,537333,3998,6856,94.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,3707,728201,208959,338666,26049,69375,3707,33596,540603,209045,84425,143078,255329,417,16485,786,412706,5453,1642807,546202,370662,2370,3707,102.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1839,727571,156491,331466,105637,32633,1839,22414,420472,64170,45733,153708,66941,866,12828,2079,300265,5351,1135919,392052,227016,1516,1839,92.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,1106,365378,86108,179519,15075,27641,1106,11302,211761,74772,50439,60659,99381,159,6054,1009,176076,4205,714244,254582,155106,960,1106,92.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,2941,1013566,168857,672291,20577,60900,2941,27263,472616,200849,108018,239547,314391,480,13810,44891,595596,11309,2054202,660403,353483,2516,2941,92.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,1580,560805,104517,325731,20816,40641,1580,21654,350601,88774,78061,148230,142226,299,9814,6515,321312,3292,1114645,355531,195796,1254,1580,89.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,1093,529064,107862,321867,11633,58718,1093,14073,356401,108435,34858,159662,142448,323,4264,29710,326865,4776,1139615,361114,188447,1347,1093,95.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,1186,326576,78532,159970,13546,44491,1186,8862,172076,60658,52316,58733,75362,332,9477,1875,158930,3444,650642,218840,130655,904,1186,90.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1397,777546,190809,484062,16347,23236,1397,23309,340813,139028,52388,153322,218811,283,6388,9086,394241,3072,1311771,444235,242382,1494,1397,91.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,5319,1636938,396880,940642,54934,113281,5319,65548,783888,235903,166993,412398,346397,1258,19775,30900,884913,8410,2860455,1009424,611899,3520,5319,93.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,2653,426658,45953,196449,16690,90461,2653,17946,226699,109560,102385,93833,126411,419,20237,7168,248457,11182,860147,316713,188319,1424,2653,88.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,10290,1547586,273436,769001,65253,180651,10290,73012,1092952,346386,256532,414460,446177,1455,44121,27130,911967,22474,3016735,1079189,697108,4105,10290,90.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,4156,1045420,221240,534021,52585,101378,4156,43848,581978,180298,149675,164405,223694,892,38617,6072,464186,17540,1829128,642197,403129,2578,4156,92.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1841,817041,216400,397505,40018,31162,1841,28411,601011,132057,77297,131390,149765,566,10224,2137,336216,7706,1440781,485628,288805,1924,1841,94.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,3495,1478947,217539,998833,38691,57546,3495,41143,1053481,270894,112382,282250,368844,645,19577,2006,694531,7910,2544205,888205,497793,3181,3495,91.0,45.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,40692,1881886,271216,658203,85349,546859,40692,132582,1244842,562795,507581,252246,607942,1105,231255,90643,829728,104162,3626564,1382654,815638,7065,40692,90.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,7719,1737539,349032,1057417,46164,74979,7719,70258,1280809,391064,179522,430949,470416,1075,20310,2653,967001,9489,3316422,1122340,648009,4098,7719,90.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,4170,1143318,197424,745015,28840,86058,4170,33664,668690,234013,87774,273244,314626,836,12331,59597,624039,8720,2155512,696556,372692,2641,4170,92.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,4594,924879,218087,405544,48512,114893,4594,36279,535187,248462,128652,73129,356548,471,25242,5158,433720,15995,1875174,673742,407193,1555,4594,92.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,1668,649898,164600,356833,18651,41342,1668,19415,348300,113421,61597,158574,174742,308,6629,10505,359161,5426,1249692,415863,233870,1582,1668,91.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,5379,1343400,299039,721629,47917,88021,5379,50918,781038,213527,159459,384786,352172,1090,20385,34740,829443,10874,2766930,913339,568812,3500,5379,91.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,4509,1040231,232097,493461,42103,94787,4509,37442,793945,276656,137526,207758,381637,404,27833,5389,628222,8764,2516115,847031,585386,3667,4509,95.0,55.0
